Title,Rating,Service,Watched,Released
Apollo 13,3.0,,2016,1995
Appaloosa,3.0,,2009,2008
Apple Tree Yard,4.0,,2021,2017
Appropriate Adult S1,3.0,Prime,2025,2011
Aquarius,1.0,,2019,2016
Argo,4.0,,2013,2012
Army of Thieves,3.0,Netflix,2023,
Arranged,3.0,,2016,2007
Arrival,3.0,,2017,2016
As It Is in Heaven,3.0,,2010,2005
Ask the Dust,1.0,,2007,2006
Asphalt City,3.8,Hulu,2025,2023
Astraea,4.0,,2019,2016
At Any Price,1.0,,2017,2012
Atomic Blonde,3.0,,2018,2017
Atonement,3.0,,2008,2007
Au Revoir Les Enfants,3.0,,2010,1987
August Evening,3.0,,2009,2008
August: Osage County,3.0,,2015,2013
Augustt Rush,3.0,,2016,2007
Aurora Borealis,3.0,,2007,2005
Australia,3.0,,2009,2008
AVA ,3.0,,2023,
Avatar,5.0,,,2009
Awakenings,4.0,,2004,1990
Away from Her,3.0,,2008,2006
Away We Go,3.0,,2011,2009
Babel,4.0,,2007,2006
Babette's Feast,4.0,,2004,1987
Baby Driver,3.0,,2017,2017
Baby Mama,2.0,,2009,2008
Bad Education,3.0,HBO,2022,2020
Bad Sisters,4.0,Apple,2022,2022
Bad Sisters Season 1,3.5,Apple TV,2024,2024
Bad Words,3.4,Netflix,2022,2014
Bagdad Cafe,3.0,,2010,1988
Bangkok Dangerous,2.0,,2009,2008
Baraka,3.0,,2010,1992
Barbara,3.0,,2023,
Barbara Walters,3.2,,2025,
Barbarian,,Netflix,2022,
Barbarian,1.0,Net,2025,2022
Barefoot,1.0,Tubi,2025,2014
Barney's V ersion,3.0,,2011,2011
Based on a True Story - ,3.0,Peacock,2024,1900
Basquiat,1.0,,2014,1996
Batman Begins,3.0,,2006,2005
Battelle off the Sexes,3.0,,2018,2017
Beasts of the Southern Wild,3.0,,2013,2012
Beau is Afraid,2.0,,2025,2023
Beauty and the Beast (2017),1.0,,2017,2017
Before,2.0,,2024,
Before I Go to Sleep,1.0,,2015,2014
